direccion	tamano	nombre_ghidra	decompila_limpio	estado	nota
800131a8	8	FUN_800131a8	si	DISTINTO	cc1-27 mete un nop de mas antes del salto a si mismo en cuerpos triviales; el m2c genera un goto igual pero el codigo real no lleva ese nop
80023740	8	FUN_80023740	si	IGUAL	
8003c340	8	FUN_8003c340	si	IGUAL	
8004486c	8	FUN_8004486c	si	DISTINTO	cc1-27 mete un nop de mas al inicio de una funcion vacia {}; limitacion del compilador en cuerpos triviales, no del C
8004a090	8	FUN_8004a090	si	IGUAL	
80012820	12	FUN_80012820	si	IGUAL	
80027c94	12	FUN_80027c94	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80027c94.c:3: `saved_reg_gp' undeclared (first use this function)
80044b34	12	FUN_80044b34	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80044b34.c:3: `saved_reg_gp' undeclared (first use this function)
80045978	12	FUN_80045978	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80045978.c:3: `saved_reg_gp' undeclared (first use this function)
800463a8	12	FUN_800463a8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800463a8.c:3: `saved_reg_gp' undeclared (first use this function)
80050d9c	12	FUN_80050d9c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80050d9c.c:2: parse error before `?'
80053ee0	12	FUN_80053ee0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80053ee0.c:3: `sp' undeclared (first use this function)
80054da0	12	FUN_80054da0	si	DISTINTO	cc1-27 no mueve el store al hueco de retardo del jr (sh antes de j en vez de en el delay slot); limitacion de scheduling del compilador, mismo bytes, distinto orden
80056550	12	FUN_80056550	si	NO_COMPILA	m2c no genero borrador: 
80057a98	12	FUN_80057a98	si	NO_COMPILA	m2c no genero borrador: 
80059f34	12	FUN_80059f34	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80059f34.c:3: request for member `unk28' in something not a structure or union
8005f7b0	12	FUN_8005f7b0	si	DISTINTO	cc1-27 no mueve el store al hueco de retardo del jr (sh antes de j en vez de en el delay slot); limitacion de scheduling del compilador, mismo bytes, distinto orden
80027cb4	16	FUN_80027cb4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80027cb4.c:3: `saved_reg_gp' undeclared (first use this function)
80042b24	16	FUN_80042b24	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80042b24.c:3: `saved_reg_gp' undeclared (first use this function)
8004af5c	16	FUN_8004af5c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004af5c.*
80050d7c	16	FUN_80050d7c	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_80050d7c.c:(.text+0x4): undefined reference to `D_80069150'
80050d8c	16	FUN_80050d8c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80050d8c.*
80054d90	16	FUN_80054d90	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80054d90.*
80055608	16	FUN_80055608	si	NO_COMPILA	NO_COMPILA (ld): src/croc2exe/FUN_80055608.c:(.text+0x8): undefined reference to `M2C_ERROR'
80056148	16	FUN_80056148	si	NO_COMPILA	NO_COMPILA (ld): src/croc2exe/FUN_80056148.c:(.text+0x8): undefined reference to `M2C_ERROR'
800565c8	16	FUN_800565c8	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_800565c8.c:(.text+0x4): undefined reference to `D_800690E4'
8005fde0	16	FUN_8005fde0	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8005fde0.c:(.text+0x4): undefined reference to `D_8006E35C'
8006133c	16	FUN_8006133c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8006133c.*
80027ca0	20	FUN_80027ca0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80027ca0.c:3: `saved_reg_gp' undeclared (first use this function)
8004ee1c	20	FUN_8004ee1c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004ee1c.*
80050e08	20	FUN_80050e08	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_80050e08.c:(.text+0xc): undefined reference to `D_80069144'
80050e1c	20	FUN_80050e1c	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_80050e1c.c:(.text+0xc): undefined reference to `D_80069148'
8005aa98	20	FUN_8005aa98	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005aa98.c:3: request for member `unk37' in something not a structure or union
8005ab0c	20	FUN_8005ab0c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005ab0c.c:3: request for member `unk37' in something not a structure or union
80018fa0	24	FUN_80018fa0	si	IGUAL	
8003c5c0	24	FUN_8003c5c0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8003c5c0.c:5: `saved_reg_gp' undeclared (first use this function)
80043480	24	FUN_80043480	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80043480.c:2: parse error before `?'
8004af6c	24	FUN_8004af6c	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8004af6c.c:(.text+0x4): undefined reference to `D_800684B8'
800531a0	24	FUN_800531a0	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_800531a0.c:(.text+0xc): undefined reference to `D_8006D654'
800557f8	24	FUN_800557f8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800557f8.c:5: request for member `unk1B0' in something not a structure or union
8005b708	24	FUN_8005b708	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8005b708.c:(.text+0x4): undefined reference to `D_8006D660'
8002df94	28	FUN_8002df94	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002df94.c:3: request for member `unk2' in something not a structure or union
8004a074	28	FUN_8004a074	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004a074.*
8004c6d8	28	FUN_8004c6d8	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004c6d8.*
80054c00	28	FUN_80054c00	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80054c00.c:5: invalid type argument of `->'
80013244	32	FUN_80013244	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80013244.c:6: `saved_reg_gp' undeclared (first use this function)
80027c54	32	FUN_80027c54	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80027c54.c:2: parse error before `?'
80027c74	32	FUN_80027c74	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80027c74.c:2: parse error before `?'
80029fc0	32	FUN_80029fc0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80029fc0.c:3: `saved_reg_gp' undeclared (first use this function)
8002d61c	32	FUN_8002d61c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002d61c.c:6: `saved_reg_gp' undeclared (first use this function)
8004c588	32	FUN_8004c588	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004c588.*
80050da8	32	FUN_80050da8	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80050da8.*
80050dc8	32	FUN_80050dc8	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80050dc8.*
80050de8	32	FUN_80050de8	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80050de8.*
800511ec	32	FUN_800511ec	si	DISTINTO	bytes distintos, ver build/verificar/FUN_800511ec.*
8005120c	32	FUN_8005120c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8005120c.*
8005122c	32	FUN_8005122c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8005122c.*
80051270	32	FUN_80051270	si	IGUAL	
80052634	32	FUN_80052634	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80052634.*
8005aa78	32	FUN_8005aa78	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005aa78.c:3: request for member `unk37' in something not a structure or union
8005aaac	32	FUN_8005aaac	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005aaac.c:3: request for member `unk37' in something not a structure or union
8005aacc	32	FUN_8005aacc	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005aacc.c:3: request for member `unk37' in something not a structure or union
8005aaec	32	FUN_8005aaec	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005aaec.c:3: request for member `unk37' in something not a structure or union
8005f4d0	32	FUN_8005f4d0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005f4d0.c:2: parse error before `?'
800613dc	32	FUN_800613dc	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800613dc.c:2: parse error before `?'
8006191c	32	FUN_8006191c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8006191c.c:2: parse error before `?'
80012784	36	FUN_80012784	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80012784.c:5: `saved_reg_gp' undeclared (first use this function)
8001288c	36	FUN_8001288c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8001288c.c:5: `saved_reg_gp' undeclared (first use this function)
800128b0	36	FUN_800128b0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800128b0.c:5: `saved_reg_gp' undeclared (first use this function)
80014958	36	FUN_80014958	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80014958.c:3: `saved_reg_gp' undeclared (first use this function)
8002de6c	36	FUN_8002de6c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002de6c.c:5: `saved_reg_gp' undeclared (first use this function)
8003471c	36	FUN_8003471c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8003471c.c:7: `saved_reg_gp' undeclared (first use this function)
8004b48c	36	FUN_8004b48c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004b48c.*
8004cf58	36	FUN_8004cf58	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004cf58.c:3: parse error before `?'
8004da48	36	FUN_8004da48	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004da48.*
8005124c	36	FUN_8005124c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005124c.c:2: parse error before `?'
80052e40	36	FUN_80052e40	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80052e40.c:3: request for member `unk14' in something not a structure or union
800556f8	36	FUN_800556f8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800556f8.c:2: parse error before `?'
80061b58	36	FUN_80061b58	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80061b58.c:2: parse error before `?'
80061ba8	36	FUN_80061ba8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80061ba8.c:2: parse error before `?'
80010b34	40	FUN_80010b34	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80010b34.c:2: parse error before `?'
80028c58	40	FUN_80028c58	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80028c58.c:7: `saved_reg_gp' undeclared (first use this function)
80045e5c	40	FUN_80045e5c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80045e5c.c:2: parse error before `?'
80050278	40	FUN_80050278	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80050278.c:7: request for member `unk4' in something not a structure or union
80053d80	40	FUN_80053d80	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: build/verificar/FUN_80053d80.o:src/croc2exe/FUN_80053d80.c:(.text+0x34): more undefined references to `M2C_ERROR' follow
80053da8	40	FUN_80053da8	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: build/verificar/FUN_80053da8.o:src/croc2exe/FUN_80053da8.c:(.text+0x34): more undefined references to `M2C_ERROR' follow
80054bd0	40	FUN_80054bd0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80054bd0.c:3: parse error before `?'
8005b5f8	40	FUN_8005b5f8	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8005b5f8.c:(.text+0x4): undefined reference to `D_8006D640'
8005b620	40	FUN_8005b620	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8005b620.c:(.text+0x4): undefined reference to `D_8006D640'
8005b6e0	40	FUN_8005b6e0	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8005b6e0.c:(.text+0x20): undefined reference to `D_8006D660'
80012860	44	FUN_80012860	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80012860.c:5: `saved_reg_gp' undeclared (first use this function)
8001492c	44	FUN_8001492c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8001492c.c:6: `saved_reg_gp' undeclared (first use this function)
80018f34	44	FUN_80018f34	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80018f34.c:2: parse error before `?'
8002de90	44	FUN_8002de90	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002de90.c:5: `saved_reg_gp' undeclared (first use this function)
8003c594	44	FUN_8003c594	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8003c594.c:2: parse error before `?'
8004594c	44	FUN_8004594c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004594c.c:5: `saved_reg_gp' undeclared (first use this function)
80045de8	44	FUN_80045de8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80045de8.c:2: parse error before `?'
8004f64c	44	FUN_8004f64c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004f64c.c:2: parse error before `?'
80028c28	48	FUN_80028c28	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80028c28.c:6: `saved_reg_gp' undeclared (first use this function)
80033358	48	FUN_80033358	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80033358.c:2: parse error before `?'
8004ae68	48	FUN_8004ae68	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004ae68.c:5: request for member `unkC' in something not a structure or union
8004ae98	48	FUN_8004ae98	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004ae98.c:5: request for member `unk8' in something not a structure or union
8004aec8	48	FUN_8004aec8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004aec8.c:5: request for member `unk4' in something not a structure or union
8004af2c	48	FUN_8004af2c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004af2c.c:5: request for member `unk14' in something not a structure or union
8004d018	48	FUN_8004d018	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8004d018.c:(.text+0x18): undefined reference to `D_80068624'
80053160	48	FUN_80053160	si	IGUAL	
8001282c	52	FUN_8001282c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8001282c.c:3: request for member `unk0' in something not a structure or union
800150dc	52	FUN_800150dc	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800150dc.c:3: parse error before `?'
80027e8c	52	FUN_80027e8c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80027e8c.c:5: parse error before `?'
8002ddf4	52	FUN_8002ddf4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002ddf4.c:5: `saved_reg_gp' undeclared (first use this function)
8004aef8	52	FUN_8004aef8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004aef8.c:5: request for member `unk14' in something not a structure or union
8004d808	52	FUN_8004d808	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004d808.c:2: parse error before `?'
800545c8	52	FUN_800545c8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800545c8.c:2: parse error before `?'
800550a4	52	FUN_800550a4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800550a4.c:9: invalid type argument of `unary *'
800156b4	56	FUN_800156b4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800156b4.c:3: parse error before `?'
80023708	56	FUN_80023708	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80023708.c:6: `saved_reg_gp' undeclared (first use this function)
80033880	56	FUN_80033880	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80033880.c:2: parse error before `?'
80033924	56	FUN_80033924	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80033924.c:5: `saved_reg_gp' undeclared (first use this function)
8003395c	56	FUN_8003395c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8003395c.c:5: `saved_reg_gp' undeclared (first use this function)
800528ec	56	FUN_800528ec	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800528ec.c:2: parse error before `?'
80054d50	56	FUN_80054d50	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80054d50.c:4: parse error before `?'
8005506c	56	FUN_8005506c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005506c.c:9: invalid type argument of `unary *'
8005a234	56	FUN_8005a234	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005a234.c:3: request for member `unkE3' in something not a structure or union
8005ac70	56	FUN_8005ac70	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005ac70.c:2: parse error before `?'
80013628	60	FUN_80013628	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80013628.c:5: `saved_reg_gp' undeclared (first use this function)
80018d1c	60	FUN_80018d1c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80018d1c.*
80018de8	60	FUN_80018de8	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80018de8.*
80056c28	60	FUN_80056c28	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80056c28.*
80056c64	60	FUN_80056c64	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80056c64.*
80013204	64	FUN_80013204	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80013204.c:6: `saved_reg_gp' undeclared (first use this function)
8001885c	64	FUN_8001885c	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8001885c.*
80018f60	64	FUN_80018f60	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80018f60.c:2: parse error before `?'
80028958	64	FUN_80028958	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80028958.*
80044720	64	FUN_80044720	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80044720.c:6: `saved_reg_gp' undeclared (first use this function)
80044a60	64	FUN_80044a60	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80044a60.c:3: `saved_reg_gp' undeclared (first use this function)
8004590c	64	FUN_8004590c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004590c.c:3: `saved_reg_gp' undeclared (first use this function)
800461ac	64	FUN_800461ac	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800461ac.c:6: `saved_reg_gp' undeclared (first use this function)
8004a034	64	FUN_8004a034	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004a034.c:8: `saved_reg_gp' undeclared (first use this function)
8004c0e0	64	FUN_8004c0e0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004c0e0.c:5: request for member `unk3' in something not a structure or union
80015fc8	68	FUN_80015fc8	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80015fc8.*
80023e8c	68	FUN_80023e8c	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_80023e8c.c:(.text+0x28): undefined reference to `D_8007198C'
80023ed0	68	FUN_80023ed0	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_80023ed0.c:(.text+0x28): undefined reference to `D_8007198C'
800284e0	68	FUN_800284e0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800284e0.c:6: `saved_reg_gp' undeclared (first use this function)
8002d5d8	68	FUN_8002d5d8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002d5d8.c:8: `saved_reg_gp' undeclared (first use this function)
8002de28	68	FUN_8002de28	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002de28.c:3: parse error before `?'
80046100	68	FUN_80046100	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80046100.*
80048084	68	FUN_80048084	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_80048084.c:(.text+0x28): undefined reference to `D_8007198C'
8004e2e0	68	FUN_8004e2e0	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004e2e0.*
8005b4b8	68	FUN_8005b4b8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005b4b8.c:10: invalid type argument of `unary *'
80018d58	72	FUN_80018d58	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80018d58.c:2: parse error before `?'
80018da0	72	FUN_80018da0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80018da0.c:2: parse error before `?'
800416e8	72	FUN_800416e8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800416e8.c:10: request for member `unk0' in something not a structure or union
80045e14	72	FUN_80045e14	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80045e14.c:9: `saved_reg_gp' undeclared (first use this function)
8004cfd0	72	FUN_8004cfd0	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8004cfd0.c:(.text+0x38): undefined reference to `D_80068634'
80052924	72	FUN_80052924	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_80052924.c:(.text+0x18): undefined reference to `D_800686D0'
8005296c	72	FUN_8005296c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8005296c.c:2: parse error before `?'
80023e40	76	FUN_80023e40	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_80023e40.c:(.text+0x30): undefined reference to `D_8007198C'
80035200	76	FUN_80035200	si	DISTINTO	bytes distintos, ver build/verificar/FUN_80035200.*
8003c2f4	76	FUN_8003c2f4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8003c2f4.c:8: `saved_reg_gp' undeclared (first use this function)
80045848	80	FUN_80045848	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80045848.c:7: `saved_reg_gp' undeclared (first use this function)
80045f50	80	FUN_80045f50	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80045f50.c:2: parse error before `?'
800131b0	84	FUN_800131b0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800131b0.c:3: `saved_reg_gp' undeclared (first use this function)
80030428	84	FUN_80030428	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80030428.c:2: parse error before `?'
8004f2b8	84	FUN_8004f2b8	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8004f2b8.*
80013854	88	FUN_80013854	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80013854.c:2: parse error before `?'
80014ab8	88	FUN_80014ab8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80014ab8.c:2: parse error before `?'
80041634	88	FUN_80041634	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80041634.c:12: request for member `unk0' in something not a structure or union
80045fa0	88	FUN_80045fa0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80045fa0.c:2: parse error before `?'
8001332c	92	FUN_8001332c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8001332c.c:7: `saved_reg_gp' undeclared (first use this function)
80013388	92	FUN_80013388	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80013388.c:7: `saved_reg_gp' undeclared (first use this function)
800254f4	92	FUN_800254f4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800254f4.c:2: parse error before `?'
8004168c	92	FUN_8004168c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004168c.c:14: request for member `unk0' in something not a structure or union
8004b624	92	FUN_8004b624	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004b624.c:2: parse error before `?'
8004f3b8	92	FUN_8004f3b8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004f3b8.c:2: parse error before `?'
8005b648	92	FUN_8005b648	si	DISTINTO	bytes distintos, ver build/verificar/FUN_8005b648.*
